    1,     1, 4.888888900000000205e-05
    2,     1, 2.111111099999999859e-05
   42,     1, 2.111111099999999859e-05
   43,     1, 8.888888900000000532e-06
    1,     2, 1.333333299999999995e-07
    2,     2, 6.666666699999999378e-08
   42,     2, 8.888888900000000373e-08
   43,     2, 4.444444400000000005e-08
    1,     3, -1.333333299999999995e-07
    2,     3, -8.888888900000000373e-08
   42,     3, -6.666666699999999378e-08
   43,     3, -4.444444400000000005e-08
    1,     4, 2.111111099999999859e-05
    2,     4, 9.777777800000000410e-05
    3,     4, 2.111111099999999859e-05
   42,     4, 8.888888900000000532e-06
   43,     4, 4.222222199999999719e-05
   44,     4, 8.888888900000000532e-06
    1,     5, 6.666666699999999378e-08
    2,     5, 2.666666699999999824e-07
    3,     5, 6.666666699999999378e-08
   42,     5, 4.444444400000000005e-08
   43,     5, 1.777777799999999883e-07
   44,     5, 4.444444400000000005e-08
    1,     6, 8.888888900000000373e-08
    3,     6, -8.888888900000000373e-08
   42,     6, 4.444444400000000005e-08
   44,     6, -4.444444400000000005e-08
    2,     7, 2.111111099999999859e-05
    3,     7, 9.777777800000000410e-05
    4,     7, 2.111111099999999859e-05
   43,     7, 8.888888900000000532e-06
   44,     7, 4.222222199999999719e-05
   45,     7, 8.888888900000000532e-06
    2,     8, 6.666666699999999378e-08
    3,     8, 2.666666699999999824e-07
    4,     8, 6.666666699999999378e-08
   43,     8, 4.444444400000000005e-08
   44,     8, 1.777777799999999883e-07
   45,     8, 4.444444400000000005e-08
    2,     9, 8.888888900000000373e-08
    4,     9, -8.888888900000000373e-08
   43,     9, 4.444444400000000005e-08
   45,     9, -4.444444400000000005e-08
    3,    10, 2.111111099999999859e-05
    4,    10, 9.777777800000000410e-05
    5,    10, 2.111111099999999859e-05
   44,    10, 8.888888900000000532e-06
   45,    10, 4.222222199999999719e-05
   46,    10, 8.888888900000000532e-06
    3,    11, 6.666666699999999378e-08
    4,    11, 2.666666699999999824e-07
    5,    11, 6.666666699999999378e-08
   44,    11, 4.444444400000000005e-08
   45,    11, 1.777777799999999883e-07
   46,    11, 4.444444400000000005e-08
    3,    12, 8.888888900000000373e-08
    5,    12, -8.888888900000000373e-08
   44,    12, 4.444444400000000005e-08
   46,    12, -4.444444400000000005e-08
    4,    13, 2.111111099999999859e-05
    5,    13, 9.777777800000000410e-05
    6,    13, 2.111111099999999859e-05
   45,    13, 8.888888900000000532e-06
   46,    13, 4.222222199999999719e-05
   47,    13, 8.888888900000000532e-06
    4,    14, 6.666666699999999378e-08
    5,    14, 2.666666699999999824e-07
    6,    14, 6.666666699999999378e-08
   45,    14, 4.444444400000000005e-08
   46,    14, 1.777777799999999883e-07
   47,    14, 4.444444400000000005e-08
    4,    15, 8.888888900000000373e-08
    6,    15, -8.888888900000000373e-08
   45,    15, 4.444444400000000005e-08
   47,    15, -4.444444400000000005e-08
    5,    16, 2.111111099999999859e-05
    6,    16, 9.777777800000000410e-05
    7,    16, 2.111111099999999859e-05
   46,    16, 8.888888900000000532e-06
   47,    16, 4.222222199999999719e-05
   48,    16, 8.888888900000000532e-06
    5,    17, 6.666666699999999378e-08
    6,    17, 2.666666699999999824e-07
    7,    17, 6.666666699999999378e-08
   46,    17, 4.444444400000000005e-08
   47,    17, 1.777777799999999883e-07
   48,    17, 4.444444400000000005e-08
    5,    18, 8.888888900000000373e-08
    7,    18, -8.888888900000000373e-08
   46,    18, 4.444444400000000005e-08
   48,    18, -4.444444400000000005e-08
    6,    19, 2.111111099999999859e-05
    7,    19, 9.777777800000000410e-05
    8,    19, 2.111111099999999859e-05
   47,    19, 8.888888900000000532e-06
   48,    19, 4.222222199999999719e-05
   49,    19, 8.888888900000000532e-06
    6,    20, 6.666666699999999378e-08
    7,    20, 2.666666699999999824e-07
    8,    20, 6.666666699999999378e-08
   47,    20, 4.444444400000000005e-08
   48,    20, 1.777777799999999883e-07
   49,    20, 4.444444400000000005e-08
    6,    21, 8.888888900000000373e-08
    8,    21, -8.888888900000000373e-08
   47,    21, 4.444444400000000005e-08
   49,    21, -4.444444400000000005e-08
    7,    22, 2.111111099999999859e-05
    8,    22, 9.777777800000000410e-05
    9,    22, 2.111111099999999859e-05
   48,    22, 8.888888900000000532e-06
   49,    22, 4.222222199999999719e-05
   50,    22, 8.888888900000000532e-06
    7,    23, 6.666666699999999378e-08
    8,    23, 2.666666699999999824e-07
    9,    23, 6.666666699999999378e-08
   48,    23, 4.444444400000000005e-08
   49,    23, 1.777777799999999883e-07
   50,    23, 4.444444400000000005e-08
    7,    24, 8.888888900000000373e-08
    9,    24, -8.888888900000000373e-08
   48,    24, 4.444444400000000005e-08
   50,    24, -4.444444400000000005e-08
    8,    25, 2.111111099999999859e-05
    9,    25, 9.777777800000000410e-05
   10,    25, 2.111111099999999859e-05
   49,    25, 8.888888900000000532e-06
   50,    25, 4.222222199999999719e-05
   51,    25, 8.888888900000000532e-06
    8,    26, 6.666666699999999378e-08
    9,    26, 2.666666699999999824e-07
   10,    26, 6.666666699999999378e-08
   49,    26, 4.444444400000000005e-08
   50,    26, 1.777777799999999883e-07
   51,    26, 4.444444400000000005e-08
    8,    27, 8.888888900000000373e-08
   10,    27, -8.888888900000000373e-08
   49,    27, 4.444444400000000005e-08
   51,    27, -4.444444400000000005e-08
    9,    28, 2.111111099999999859e-05
   10,    28, 9.777777800000000410e-05
   11,    28, 2.111111099999999859e-05
   50,    28, 8.888888900000000532e-06
   51,    28, 4.222222199999999719e-05
   52,    28, 8.888888900000000532e-06
    9,    29, 6.666666699999999378e-08
